Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
Invesco China New Perspective Eq A USDAD,USD,"The Fund aims to achieve long-term capital growth. The Fund seeks to achieve its objective by investing primarily in equity or equity related securities of (i) companies having their registered office in China, (ii) companies with their registered office outside China carrying out their business activities predominantly in China, or (iii) holding companies, the interests of which are predominantly invested in companies with registered office in China.",2 stars,5 / 7,8,75,"2,24%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Fidelity China Focus A-Acc-EUR,EUR,"The fund aims to achieve capital growth over time. The fund invests at least 70% of its assets, in equities of companies listed in China and Hong Kong, as well as in equities of non-Chinese companies which do most of their business in China. China is considered to be an emerging market. The fund may also invest in money market instruments on an ancillary basis. In actively managing the fund, the Investment Manager considers growth and valuation metrics, company financials, return on capital, cash flows and other measures, as well as company management, industry, economic conditions, and other factors.",4 stars,5 / 7,6,137,"1,91%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
JPM Global Natural Resources A (acc) EUR,EUR,"Alarahasto tavoittelee pitkäaikaista pääoman kasvua sijoittamalla ensisijaisesti luonnonvarasektorilla toimiviin yrityksiin eri puolilla maailmaa. Vähintään 67% alarahaston varoista (lukuun ottamatta käteistä ja käteiseen verrattavia varoja) sijoitetaanglobaalisti luonnonvaroja hyödyntävien yritysten osakearvopapereihin. Luonnonvaroja hyödyntäviä yrityksiä ovat luonnonvarojen ja niiden oheistuotteiden tutkimista, kehittämistä, jalostamista, tuotantoa ja markkinointia harjoittavat yritykset. Alarahasto altistuu pienen markkinapääoman yrityksille ja voi sijoittaa kehittyville markkinoille. Alarahasto voi sijoittaa missä tahansa valuutassa oleviin varoihin, ja valuuttariskiltä saatetaan suojautua. Alarahasto voi käyttää rahoitusjohdannaisia suojaukseen ja tehokkaaseen salkunhoitoon.",4 stars,5 / 7,6,851,"1,74%",Sektori,Luonnonvarat,
Carmignac Pf Investissement A EUR Acc,EUR,"The Sub-Fund’s objective is to outperform its reference indicator over a recommended investment horizon of five years. The search for performance involves active management, mostly on equity markets based on fundamental analysis on companies and how the portfolio manager expects economic and market conditions to evolve. In addition, the Sub-Fund seeks to invest sustainably for long-term growth and implements a socially responsible investment approach. This Sub-Fund is an actively managed UCITS. The investment manager has discretion over the composition of its portfolio, subject to the stated investment objectives and policy.",4 stars,4 / 7,8,665,"1,80%",Tyyli,kasvuosakkeet,
JPM Europe Small Cap A (acc) EUR,EUR,Rahasto sijoittaa varansa pienten eurooppalaisten yritysten osakkeisiin.,4 stars,4 / 7,8,152,"1,78%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
Fidelity China Focus A-Dis-USD,USD,"The fund aims to achieve capital growth over time. The fund invests at least 70% of its assets, in equities of companies listed in China and Hong Kong, as well as in equities of non-Chinese companies which do most of their business in China. China is considered to be an emerging market. The fund may also invest in money market instruments on an ancillary basis. In actively managing the fund, the Investment Manager considers growth and valuation metrics, company financials, return on capital, cash flows and other measures, as well as company management, industry, economic conditions, and other factors.",4 stars,5 / 7,6,1154,"1,91%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Aktia Euroopan Kassakoneet B,EUR,Rahasto sijoittaa varansa korkeaa osinkotuottoa maksaviin eurooppalaisten yhtiöiden osakkeisiin ja osakesidonnaisiin arvopapereihin.,2 stars,4 / 7,8,469,"1,07%",Tyyli,osinko-osakkeet,
BNP Paribas Emerging Eq Cl C USD,USD,The investment objective of the fund is to increase the value of its assets over the medium term by investing primarily in Emerging equities.,2 stars,4 / 7,8,52,"2,21%",Maantiede,Kehittyvät maat,Kehittyvät maat
HSBC GIF Chinese Equity AD,USD,"HSBC Chinese Equity sijoittaa osakkeisiin, jotka on listattu Kiinan pörssissä tai joita välitetään Kiinan säännöstellyillä markkinoilla. Yritykset, joiden toiminta liittyy läheisesti K.n taloudelliseen kehitykseen ja jotka toimivat alueella aktiivisesti ovat myös sij.kohteina. Tavoitteena arvonnousu keskipitkällä ja pitkällä aikavälillä.",3 stars,5 / 7,8,537,"1,90%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
UBS (Lux) EF-Greater China B Akk,USD,"Rahasto sijoittaa pääasiassa Suur-Kiinan suurimpiin yrityksiin. Suur-Kiinalla tarkoitetaan seuraavia maita: Taiwan, Kiina ja Hongkong. Yritysten valinta perustuu suurimmaksi osaksi mm. seuraaviin laatukriteereihin: yrityksen strategia, vahva markkina-asema, korkealaatuinen johtaminen, kasvupotentiaali sekä omistaja-arvon nostaminen (shareholder value). Hajautus saadaan aikaan ottamalla mukaan useita maita ja eri toimialoja ja tästä syystä se tarjoaa sijoittajalle parhaan mahdollisen riski/tuotto-suhteen. Rahasto pyrkii toteuttamaan sijoitustavoitteensa viemällä läpi varojen allokointistrategioita osakemarkkinoilla ao. alueella ja valitsemalla aktiivisesti arvopaperit jokaisella markkina-alueella erikseen.",3 stars,5 / 7,8,431,"2,40%",Maantiede,Kehittyvät maat,Suur-Kiina
DWS Invest German Equities LC,EUR,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the fund is to achieve an above average return. At least 75% of the sub-fund’s assets are invested in equities, investment certificates, equity warrants, equity-linked warrants and subscription rights of German issuers. German issuers are defined as companies headquartered in Germany.",2 stars,4 / 7,8,367,"1,64%",Maantiede,Kehittyneet maat – suuret yhtiöt,Saksa
BNP Paribas Glbl Cnvrt Cl RH EUR C,EUR,The investment objective of the fund is to increase the value of its assets over the medium term by investing in convertible bonds from any countries.,4 stars,3 / 7,8,12,"1,63%",Korko,Vaihtovelkakirjat,
BGF Next Generation Technology A2,USD,"The Fund seeks to maximise total return and invest in a manner consistent with the principles of environmental, social and governance (“ESG”) investing. The Fund invests at least 70% of its total assets in the equity securities of companies globally whose predominant economic activity comprises the research, development, production and/or distribution of new and emerging technology.",2 stars,5 / 7,8,6675,"1,81%",Sektori,Teknologia,
Nordnet Norge Indeks,NOK,"Rahasto on Norjan markkinoille sijoittava osakeindeksirahasto, ja rahaston tavoitteena on jäljitellä OBX Index -osakeindeksin koostumusta ja siten myös indeksin muodostamaa tuottoa. Rahasto sijoittaa varansa pääasiassa osakkeisiin ja muihin jälkimarkkinakelpoisiin osakepohjaisiin arvopapereihin. Rahasto saa käyttää johdannaisinstrumentteja osana sijoituspolitiikkaansa.",3 stars,4 / 7,6,172589,"0,00%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Norja
Storebrand Emerging Markets A EUR,EUR,"Storebrand Emerging Markets on indeksiä lähellä oleva vastuullinen osakerahasto,joka sijoittaa laajasti eri toimialojen osakkeisiin kehittyvillä markkinoilla. Rahasto sijoittaa yleensä noin 700-950 yritykseen, jotka toimivat monilla eri toimialoilla ja maissa ja suurimmat markkina tovat Kiina ja Etelä-Korea.Rahasto noudattaa vastuullisen sijoittamisen periaatteitamme. Niiden mukaisesti emme sijoita muun muassa yrityksiin, jotka rikkovat kansainvälisiä sääntöjä ja sopimuksia. Nämä koskevat ihmisoikeuksia,työlainsäädäntöä ja kansainvälistä oikeutta,korruptiota, talousrikollisuutta, vakavia ilmasto- ja ympäristövahinkoja ja kiistanalaisia aseita (maamiinat,rypälepommit ja ydinaseet).Suljemme pois myös yritykset,joiden liikevaihdosta yli 5 % tulee tupakkatuotteiden,aseiden,alkoholin,uhkapelien, pornografian,kannabistuotteiden ja fossiilisten polttoaineiden valmistamisesta ja/tai jakelusta,sekä yritykset, joilla on suuret fossiilisten polttoaineiden varannot.",4 stars,4 / 7,8,4905,"0,42%",Maantiede,Kehittyvät maat,Kehittyvät maat
BGF Japan Small & MidCap Opps A2,USD,"Rahasto pyrkii maksimoimaan kokonaistuoton. Rahasto sijoittaa vähintään 70 prosenttia kokonaisvarallisuudestaan Japanissa sijaitsevien tai siellä pääasiallista liiketoimintaansa harjoittavien pienen tai keskisuuren markkina-arvon yhtiöiden osakkeisiin. Pienen ja keskisuuren markkina-arvon yhtiöinä pidetään yrityksiä, jotka ostohetkellä muodostavat alimmat 40 prosenttia Japanin osakemarkkinoiden markkina-arvosta.",3 stars,4 / 7,8,208,"1,80%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Japani small/mid
Handelsbanken EMEA Tema (A1 EUR),EUR,"Rahasto sijoittaa itäeurooppalaisten yritysten osakkeisiin mukaan lukien Kreikka, Turkki ja korkeintaan 10 % Kazakstan. Kun valitsemme osakkeita rahastoon painotamme erityisesti, että yrityksen strategia sopii yhteen arvioomme siitä, mikä voi antaa osakkeelle hyvän kurssikehityksen. Seuraavaksi arvioimme yhtiön avainlukuja esimerkiksi voittokasvua suhteessa markkinoiden odotuksiin.",0 stars,4 / 7,8,96,"1,62%",Muut,,
BGF Asian Growth Leaders A2,USD,"The Fund seeks to maximise total return. The Fund invests at least 70% of its total assets in the equity securities of companies domiciled in, or exercising the predominant part of their activity in Asia, excluding Japan. The Fund places particular emphasis on sectors and companies that, in the opinion of the Investment Adviser, exhibit growth investment characteristics, such as above average growth rates in earnings or sales and high or improving returns on capital.",3 stars,4 / 7,6,262,"1,81%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
BGF European Value A2,EUR,"The Fund seeks to maximise total return. The Fund invests at least 70% of its total assets in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in, Europe. The Fund places particular emphasis on companies that are, in the opinion of the Investment Adviser, undervalued and therefore represent intrinsic investment value.",4 stars,4 / 7,8,1051,"1,81%",Tyyli,arvoyhtiöt,
S-Pankki Kehittyvät Markkinat Osake A,EUR,"Rahaston sijoitustoiminnan tavoitteena on aktiivisella ja vastuullisella rahastonhoidolla saada sijoitetuille varoille mahdollisimman hyvä pitkän aikavälin tuotto, joka ylittää vertailuindeksin tuoton. Vertailuindeksinä käytetään MSCI Daily (tr) Net Emerging Markets -tuottoindeksiä euroissa laskettuna. Indeksi kuvaa eri kehittyvillä markkinoilla listattujen, pääosin suurten yhtiöiden osakkeiden arvonkehitystä. Tuottoindeksiin lasketaan mukaan myös yhtiöiden maksamat osingot.",3 stars,4 / 7,8,550,"1,90%",Maantiede,Kehittyvät maat,Kehittyvät maat
Fidelity Transition Materials A USD Acc,USD,The fund aims to achieve capital growth over the long term.,0 stars,4 / 7,8,35,"1,95%",Sektori,Luonnonvarat,
SEB Asienfond ex Japan B,USD,-,0 stars,4 / 7,8,117,"1,52%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Storebrand Emerging Markets Plus A EUR,EUR,"Storebrand Emerging Markets Plus on indeksiä lähellä oleva vastuullinen osakerahasto, joka sijoittaa laajasti eri toimialojen osakkeisiin kehittyvillä markkinoilla. Rahaston tuoton odotetaan eroavan indeksin kehityksestä, ja ero indeksiin voi olla merkittävä, koska rahasto noudattaa vastuullisen sijoittamisen periaatteitamme. Rahasto valitsee aktiivisesti mukaan yrityksiä, joilla on pieni hiilidioksidijalanjälki ja korkea vastuullisuusluokitus, sekä ratkaisuyrityksiä. Rahasto noudattaa vastuullisen sijoittamisen periaatteitamme. Niiden mukaisesti emme sijoita muun muassa yrityksiin, jotka rikkovat kansainvälisiä sääntöjä ja sopimuksia. Suljemme pois myös yritykset, joiden liikevaihdosta yli 5 % tulee tupakkatuotteiden, aseiden, alkoholin, uhkapelien, pornografian, kannabistuotteiden ja fossiilisten polttoaineiden valmistamisesta ja/tai jakelusta, sekä yritykset, joilla on suuret fossiilisten polttoaineiden varannot.",4 stars,4 / 7,8,3033,"0,52%",Maantiede,Kehittyvät maat,Kehittyvät maat
Fidelity Fds- Emerging Markets A Udb,USD,"Fidelity Emerging Markets Fund on kansainvälinen osakerahasto, joka sijoittaa osakkeisiin kehittyvillä markkinoilla kuten latinalainen Amerikka, Kaakkois-Aasia, Afrikka, Itä-Eurooppa ja Lähi-itä.",2 stars,4 / 7,8,803,"1,93%",Maantiede,Kehittyvät maat,Kehittyvät maat
SEB Asienfond ex Japan A,SEK,-,4 stars,4 / 7,8,336,"1,52%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Fidelity China Innovation A-Dis-USD,USD,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% of its assets, in equities of companies that are listed, headquartered, or do most of their business, in the Greater China Region, including China, Hong Kong, Macau and Taiwan. These investments are considered innovative in technology (such as artificial intelligence, digitisation, robotics and future mobility), lifestyle (such as health, education and wealth) and ecology (such as clean energy, environmental protection and circular economy). These investments may be from emerging markets. The fund may also invest in money market instruments on an ancillary basis.",2 stars,5 / 7,8,107,"1,95%",Maantiede,Kehittyvät maat,Suur-Kiina
BNP Paribas Disrpt Tech Cl C,EUR,"Increase the value of its assets over the medium term by investing primarily in innovative technology companies. At all times, this sub-fund invests at least 75% of its assets in equities and/or equity equivalent securities issued by worldwide companies which enable or profit from innovative technologies, including but not limited to (i) artificial intelligence, (ii) cloud computing, and (iii) robotics.",4 stars,5 / 7,8,984,"1,96%",Sektori,Teknologia,
BGF US Flexible Equity A2,EUR,"Rahaston tavoitteena on maksimoida sijoituksellesi saatava tuotto Rahaston pääoman kasvun ja tuoton yhdistelmällä. Rahasto sijoittaa vähintään 70 % kokonaisvaroistaan sellaisten yhtiöiden osakesidonnaisiin arvopapereihin (esim. osakkeisiin), joiden kotipaikka sijaitsee tai jotka harjoittavat pääasiallista liiketoimintaansa Yhdysvalloissa. Markkinaolosuhteista riippuen Rahasto pyrkii sijoittamaan sellaisten yritysten osakesidonnaisiin arvopapereihin, jotka salkunhoitajan mielestä ovat aliarvostettuja (eli niiden hinta ei heijasta niiden kohde-etuusarvoa) tai joilla on hyvät kasvumahdollisuudet. Salkunhoitaja voi käyttää rahoitusjohdannaisia (eli sijoituksia, joiden hinta perustuu yhteen tai useampaan kohde-etuuteen) apuna rahaston sijoitustavoitteen saavuttamisessa ja/tai vähentääkseen rahaston salkun riskiä ja sijoituskustannuksia sekä saadakseen aikaan lisää tuottoa.",3 stars,4 / 7,8,156,"1,80%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Handelsbanken Asien Tema (A1 EUR),EUR,"Asienfond (A1 EUR) -rahasto sijoittaa Aasian osakemarkkinoille (kuitenkin pois lukien Japani). Rahaston sijoitukset on hajautettu sekä eri toimialoille että eri yrityksiin. Rahasto voi sijoittaa myös muihin maihin, joilla on merkittävää toimintaa alueella.",4 stars,4 / 7,8,427,"1,50%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
BGF US Flexible Equity A2,USD,"Rahaston tavoitteena on maksimoida sijoituksellesi saatava tuotto Rahaston pääoman kasvun ja tuoton yhdistelmällä. Rahasto sijoittaa vähintään 70 % kokonaisvaroistaan sellaisten yhtiöiden osakesidonnaisiin arvopapereihin (esim. osakkeisiin), joiden kotipaikka sijaitsee tai jotka harjoittavat pääasiallista liiketoimintaansa Yhdysvalloissa. Markkinaolosuhteista riippuen Rahasto pyrkii sijoittamaan sellaisten yritysten osakesidonnaisiin arvopapereihin, jotka salkunhoitajan mielestä ovat aliarvostettuja (eli niiden hinta ei heijasta niiden kohde-etuusarvoa) tai joilla on hyvät kasvumahdollisuudet. Salkunhoitaja voi käyttää rahoitusjohdannaisia (eli sijoituksia, joiden hinta perustuu yhteen tai useampaan kohde-etuuteen) apuna rahaston sijoitustavoitteen saavuttamisessa ja/tai vähentääkseen rahaston salkun riskiä ja sijoituskustannuksia sekä saadakseen aikaan lisää tuottoa.",3 stars,4 / 7,8,20,"1,80%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
abrdn-All China Sustainable Eq A AccUSD,USD,"The Fund’s investment objective is long term total return to be achieved by investing at least 90% of the Fund’s assets in equities and equity-related securities of companies listed, incorporated or domiciled in China; or companies that derive a significant proportion of their revenues or profits from Chinese operations or have a significant proportion of their assets there.",2 stars,5 / 7,8,135,"1,93%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Schroder ISF Nordic Micro Cap A € Acc,EUR,The Fund aims to provide capital growth in excess of the MSCI Nordic Micro Cap (Net TR) index after fees have been deducted over a five to seven year period by investing in equity or equity related securities of micro-sized Nordic companies. The Fund is actively managed and invests at least two-thirds of its assets in equity and equity related securities of microsized Nordic companies.,3 stars,4 / 7,8,21,"2,08%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat small/mid
Handelsbanken Eurooppa Indeksi,EUR,"Rahasto on indeksirahasto, jonka tavoitteena on seurata Solactive ISS ESG Screened Europe Index-indeksiä niin tarkasti kuin mahdollista. Rahasto on passiivisesti hallinnoitu",4 stars,4 / 7,9,39549,"0,20%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
Fidelity China Consumer A-Acc-EUR,EUR,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% of its assets, in equities of companies that are headquartered or do most of their business in China or Hong Kong. These companies are involved in the development, manufacture or sales of goods or services to consumers in China. Some of these investments may be from emerging markets. The fund may also invest in money market instruments on an ancillary basis.",2 stars,5 / 7,8,188,"1,91%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Nordea 1 - Emerging Sust Strs Eq BP EUR,EUR,"Nordea 1, SICAV – Kehittyvät Tähdet (virallinen nimi Nordea 1, SICAV – Emerging Stars Equity Fund) sijoittaa maailmanlaajuisesti kehittyville markkinoille rekisteröityjen tai siellä liiketoimintaansa pääasiassa harjoittavien yhtiöiden osakkeisiin. Rahasto edustaa kokonaan uutta sukupolvea vastuullisessa sijoittamisessa, sillä se yhdistää ainutlaatuisella tavalla perinteisen salkunhoidon ja vastuullisen sijoittamisen menetelmät. Rahaston sijoituskohteiden valintaa ohjaavat yhteiskuntavastuuseen ja ympäristöön liittyvät kysymykset varsinaisten taloudellisten tunnuslukujen ohella. Tätä sijoitusprosessia kutsutaan positiiviseksi seulonnaksi, ja se on ensimmäinen laatuaan Suomessa. Positiivisen seulonnan ideana on valikoida salkkuun ne yhtiöt, jotka ovat parhaita kestävän kehityksen kannalta sen sijaan, että rajattaisiin pois ne yhtiöt, joiden liiketoiminnan arvot eivät ole kestäviä.",2 stars,4 / 7,8,582,"1,83%",Maantiede,Kehittyvät maat,Kehittyvät maat
HSBC GIF Asia ex Japan Equity AC,USD,HSBC Asian Equity sijoittaa Aasian(Tyynivaltameri) maiden osakemarkkinoille.,3 stars,5 / 7,8,48,"1,85%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Fidelity China Consumer A-Acc-USD,USD,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% of its assets, in equities of companies that are headquartered or do most of their business in China or Hong Kong. These companies are involved in the development, manufacture or sales of goods or services to consumers in China. Some of these investments may be from emerging markets. The fund may also invest in money market instruments on an ancillary basis.",2 stars,5 / 7,8,76,"1,91%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Invesco Euro Equity A EUR Acc,EUR,"The objective of the Fund is to outperform the MSCI EMU Index (Net Total Return) in the long term. The Fund seeks to achieve its objective through an active allocation to Eurozone equities. At least 90% of the Fund’s NAV will be invested in equities of Eurozone markets. Furthermore, at least 75% of its NAV will be invested in companies that have their registered office in a Member State of the European Union or the United Kingdom.",3 stars,4 / 7,8,162,"1,70%",Maantiede,Kehittyneet maat – suuret yhtiöt,Euroalue suuret
Tundra Sustainable Frontier Fund A SEK,SEK,"Rahaston tavoitteena on luoda sijoitustoimintaa reunamarkkinnoilla ja kasvumarkkinoilla ja tarjota osuudenomistajille mahdollisimman kestävä enimmäistuotto, kun otetaan huomioon rahaston riskitaso. Vähintään 80 prosenttia rahaston varoista sijoitetaan pääasiassa kehittyvillä markkinoilla ja/tai reunamarkkinnoilla toimivien yritysten osakkeisiin ja jälkimarkkinakelpoisiin arvopapereihin. Rahasto voi sijoittaa enintään 20 prosenttia varoistaan osakkeisiin tai arvopapereihin yrityksiin, jotka on Morgan Stanley Capital Internationalin (MSCI) mukaan luokiteltu kehittyneiksi markkinoiksi. Riippumatta edellä mainituista rajoituksista saa rahastolla aina olla käytettävissään riittävästi varoja kattamaan talousarvion toteuttamisesta aiheutuvat kassatarpeet, mutta enintään 20 prosenttia rahaston omaisuudesta.",3 stars,4 / 7,8,1793,"2,50%",Maantiede,Maailma,Frontier-markkinat
Templeton Eurp Sm-Mid Cap A(acc)EUR,EUR,"Rahasto sijoittaa ensisijaisesti hajautetusti Euroopassa sijaitsevien pienten ja keskisuurten kasvuyhtiöiden arvopapereihin. Rahasto sijoittaa yhtiöihin, joiden markkina-arvo on yli sata miljoonaa euroa, mutta alle kahdeksan miljardia euroa tai tätä vastaava arvo muussa valuutassa ostohetkellä.",3 stars,4 / 7,8,223,"1,91%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
Principal European Equity A Acc USD,USD,"Alarahasto sijoittaa pääasiassa sellaisten yhtiöiden oman pääoman ehtoisiin arvopapereihin, joiden kotipaikka tai ydinliiketoiminta sijaitsee Euroopassa (mukaan lukien Itä-Eurooppa) ja joiden sijoitusneuvoja (""sijoitusneuvoja"", Adviser) uskoo olevan markkinoiden väärin hinnoittelemia ja sisältävän potentiaalia merkittävään kasvuun. Alarahasto voi myös sijoittaa sellaisiin velka-arvopapereihin, jotka liikkeeseenlaskeneiden yhtiöiden oman pääoman ehtoisia arvopapereita alarahasto voi ostaa tavoitteensa saavuttamiseksi. Alarahasto voi sijoittaa sekä listattuihin että listaamattomiin oman pääoman ehtoisiin arvopapereihin niin, että listaamattomiin oman pääoman ehtoisiin arvopapereihin sallittu määrä on 10 prosenttia alarahaston nettovaroista. Alarahasto voi sijoittaa myös kiinteistösijoitusrahastoihin (REITS) tai muihin niiden kaltaisiin, vastaaviksi katsottuihin tuotteisiin. Se voi sijoittaa myös rahaston (Unit Trust) muihin alarahastoihin tavoitteensa saavuttamiseksi.",3 stars,4 / 7,8,18,"1,74%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
Storebrand Europa A EUR,EUR,"Storebrand Europa on indeksiä lähellä oleva vastuullinen osakerahasto, joka sijoittaa laajasti osakkeisiin eri toimialoilla Euroopan osakemarkkinoilla. Rahaston kehitystä verrataan Euroopan osakemarkkinoita kuvaavaan indeksiin. Rahasto sijoittaa yleensä noin 350-500 yritykseen,jotka toimivat monilla eri toimialoilla ja maissa.Rahasto noudattaa vastuullisen sijoittamisen periaatteitamme. Niiden mukaisesti emme sijoita muun muassa yrityksiin, jotka rikkovat kansainvälisiä sääntöjä ja sopimuksia. Nämä koskevat ihmisoikeuksia, työlainsäädäntöä ja kansainvälistä oikeutta, korruptiota, talousrikollisuutta, vakavia ilmasto- ja ympäristövahinkoja ja kiistanalaisia aseita (maamiinat, rypälepommit ja ydinaseet). Suljemme pois myös yritykset, joiden liikevaihdosta yli 5 % tulee tupakkatuotteiden, aseiden, alkoholin, uhkapelien, pornografian, kannabistuotteiden ja fossiilisten polttoaineiden valmistamisesta ja/tai jakelusta, sekä yritykset, joilla on suuret fossiilisten polttoaineiden varannot.",5 stars,4 / 7,8,6045,"0,21%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
UBS (Lux) ES All China (USD) P acc,USD,"The Sub-Fund may invest via the Shanghai-Hong Kong Stock Connect and Shenzhen-Hong Kong Stock Connect (collectively, the “Stock Connect”). The aggregate exposure to China A-Share and China B-Share markets for the Sub-Fund may be up to 100% of its total net asset value. The Sub-Fund may invest in aggregate 30% or more (up to 100%) of its total net asset value in stocks listed on the ChiNext market. The Sub-Fund’s assets are not limited to a particular range of market capitalisations, or to any industry or sectoral allocation. The Sub-Fund may invest up to 30% of its total net asset value in instruments with loss-absorption features including contingent convertible debt securities. These instruments may be subject to contingent write-down or contingent conversion to ordinary shares on the occurrence of trigger event(s). The Sub-Fund may use financial derivative instruments for investment and hedging purposes.",2 stars,5 / 7,8,37,"2,20%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
DWS Invest CROCI Euro LC,EUR,"This sub-fund promotes environmental and social characteristics and qualifies as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the fund is to achieve long term capital appreciation by investing at least 60% in large cap Eurozone equities that are considered undervalued according to the CROCI methodology and the CROCI Euro investment strategy.",2 stars,4 / 7,8,87,"1,08%",Maantiede,Kehittyneet maat – suuret yhtiöt,Euroalue suuret
Invesco Emerg Mkts ex-China Eq A USD AD,USD,"The Fund aims to achieve long-term capital growth. The Fund seeks to achieve its objective by investing primarily in equity or equity related securities of (i) companies with their registered office in an emerging market country (excluding China), (ii) companies with their registered office in a non-emerging market country (excluding China) but carrying out their business activities predominantly in emerging market countries (excluding China) or (iii) holding companies, the interests of which are predominantly invested in companies with their registered office in emerging market countries (excluding China).",0 stars,4 / 7,8,173,"1,70%",Maantiede,Kehittyvät maat,Kehittyvät maat (ei Kiina)
JPM China A (dist) USD,USD,Rahasto sijoittaa varansa hajautetusti kiinalaisten yritysten osakkeisiin.,3 stars,5 / 7,8,2190,"1,74%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
DWS Invest European Eq Hi Convct LC,EUR,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the fund is to achieve an appreciation as high as possible of capital invested in Euros. The sub-fund may acquire equities, interest-bearing securities, convertible bonds and warrant-linked bonds, participation and dividend-right certificates, equity warrants and index certificates. At least 75% of the sub-fund’s assets are invested in equities of issuers having their headquarters in a member state of the EU, the United Kingdom, in Norway and/or in Iceland.",2 stars,4 / 7,8,16,"1,73%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
East Capital China A EUR,EUR,The investment objective of the Sub-Fund is to provide long-term capital growth through exposure to Chinese companies.,3 stars,5 / 7,8,202,"2,30%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina A-sarja
East Capital Global EM Sustainable A EUR,EUR,"Rahaston varat sijoitetaan pääasiassa laajan Kiinan, Korean ja Kaakkois-Aasian osakemarkkinoille tarjoten sijoittajille pitkäaikaista varainhoitoa. Sijoitustekniikka pohjaa perusteelliseen oskekohtaiseen analyysiin tavoitteena löytää matalalle arvostettuja yhtiöitä, joilla on hyvät edellytykset saavuttaa korkea osakekohtainen kasvu. Rahastossa on pääasiassa 30 eri sijoitusta, tämä mahdollistaa sijoitusten ja potentiaalisten sijoitusvaihtoehtojen tiiviin seurannan. Sijoitetulle varoille haetaan mahdollisimman hyvä pitkän aikavälin tuotto.",3 stars,4 / 7,9,1363,"2,00%",Maantiede,Kehittyvät maat,Kehittyvät maat
JPM Emerging Markets Div A (acc) EUR,EUR,"To provide income by investing primarily in dividend-yielding equity securities of emerging market companies, whilst participating in long term capital growth.",4 stars,4 / 7,8,197,"1,80%",Maantiede,Kehittyvät maat,Kehittyvät maat
